Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
181.4 ,0.0 ,167.0 ,169.6 ,7.6 ,1055.6 ,777.8 ,100 ,45.37 
182.0 ,45.2 ,122.0 ,170.2 ,8.2 ,1059.4 ,780.7 ,3 ,7.32 
182.0 ,45.2 ,122.0 ,170.2 ,8.2 ,1059.4 ,780.7 ,14 ,21.50 
182.0 ,45.2 ,122.0 ,170.2 ,8.2 ,1059.4 ,780.7 ,28 ,31.27 
182.0 ,45.2 ,122.0 ,170.2 ,8.2 ,1059.4 ,780.7 ,56 ,43.50 
182.0 ,45.2 ,122.0 ,170.2 ,8.2 ,1059.4 ,780.7 ,100 ,48.67 
168.9 ,42.2 ,124.3 ,158.3 ,10.8 ,1080.8 ,796.2 ,3 ,7.40 
168.9 ,42.2 ,124.3 ,158.3 ,10.8 ,1080.8 ,796.2 ,14 ,23.51 
168.9 ,42.2 ,124.3 ,158.3 ,10.8 ,1080.8 ,796.2 ,28 ,31.12 
168.9 ,42.2 ,124.3 ,158.3 ,10.8 ,1080.8 ,796.2 ,56 ,39.15 
168.9 ,42.2 ,124.3 ,158.3 ,10.8 ,1080.8 ,796.2 ,100 ,48.15 
290.4 ,0.0 ,96.2 ,168.1 ,9.4 ,961.2 ,865.0 ,3 ,22.50 
290.4 ,0.0 ,96.2 ,168.1 ,9.4 ,961.2 ,865.0 ,14 ,34.67 
290.4 ,0.0 ,96.2 ,168.1 ,9.4 ,961.2 ,865.0 ,28 ,34.74 
290.4 ,0.0 ,96.2 ,168.1 ,9.4 ,961.2 ,865.0 ,56 ,45.08 
290.4 ,0.0 ,96.2 ,168.1 ,9.4 ,961.2 ,865.0 ,100 ,48.97 
277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,875.6 ,3 ,23.14 
277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,875.6 ,14 ,41.89 
277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,875.6 ,28 ,48.28 
277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,875.6 ,56 ,51.04 
277.1 ,0.0 ,97.4 ,160.6 ,11.8 ,973.9 ,875.6 ,100 ,55.64 
295.7 ,0.0 ,95.6 ,171.5 ,8.9 ,955.1 ,859.2 ,3 ,22.95 
295.7 ,0.0 ,95.6 ,171.5 ,8.9 ,955.1 ,859.2 ,14 ,35.23 
295.7 ,0.0 ,95.6 ,171.5 ,8.9 ,955.1 ,859.2 ,28 ,39.94 
295.7 ,0.0 ,95.6 ,171.5 ,8.9 ,955.1 ,859.2 ,56 ,48.72 
295.7 ,0.0 ,95.6 ,171.5 ,8.9 ,955.1 ,859.2 ,100 ,52.04 
251.8 ,0.0 ,99.9 ,146.1 ,12.4 ,1006.0 ,899.8 ,3 ,21.02 
251.8 ,0.0 ,99.9 ,146.1 ,12.4 ,1006.0 ,899.8 ,14 ,33.36 
251.8 ,0.0 ,99.9 ,146.1 ,12.4 ,1006.0 ,899.8 ,28 ,33.94 
251.8 ,0.0 ,99.9 ,146.1 ,12.4 ,1006.0 ,899.8 ,56 ,44.14 
251.8 ,0.0 ,99.9 ,146.1 ,12.4 ,1006.0 ,899.8 ,100 ,45.37 
249.1 ,0.0 ,98.8 ,158.1 ,12.8 ,987.8 ,889.0 ,3 ,15.36 
249.1 ,0.0 ,98.8 ,158.1 ,12.8 ,987.8 ,889.0 ,14 ,28.68 
249.1 ,0.0 ,98.8 ,158.1 ,12.8 ,987.8 ,889.0 ,28 ,30.85 
249.1 ,0.0 ,98.8 ,158.1 ,12.8 ,987.8 ,889.0 ,56 ,42.03 
249.1 ,0.0 ,98.8 ,158.1 ,12.8 ,987.8 ,889.0 ,100 ,51.06 
252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889.0 ,3 ,21.78 
252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889.0 ,14 ,42.29 
252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889.0 ,28 ,50.60 
252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889.0 ,56 ,55.83 
252.3 ,0.0 ,98.8 ,146.3 ,14.2 ,987.8 ,889.0 ,100 ,60.95 
246.8 ,0.0 ,125.1 ,143.3 ,12.0 ,1086.8 ,800.9 ,3 ,23.52 
246.8 ,0.0 ,125.1 ,143.3 ,12.0 ,1086.8 ,800.9 ,14 ,42.22 
246.8 ,0.0 ,125.1 ,143.3 ,12.0 ,1086.8 ,800.9 ,28 ,52.50 
246.8 ,0.0 ,125.1 ,143.3 ,12.0 ,1086.8 ,800.9 ,56 ,60.32 
246.8 ,0.0 ,125.1 ,143.3 ,12.0 ,1086.8 ,800.9 ,100 ,66.42 
275.1 ,0.0 ,121.4 ,159.5 ,9.9 ,1053.6 ,777.5 ,3 ,23.80 
275.1 ,0.0 ,121.4 ,159.5 ,9.9 ,1053.6 ,777.5 ,14 ,38.77 
275.1 ,0.0 ,121.4 ,159.5 ,9.9 ,1053.6 ,777.5 ,28 ,51.33 
275.1 ,0.0 ,121.4 ,159.5 ,9.9 ,1053.6 ,777.5 ,56 ,56.85 
275.1 ,0.0 ,121.4 ,159.5 ,9.9 ,1053.6 ,777.5 ,100 ,58.61 
297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,753.5 ,3 ,21.91 
297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,753.5 ,14 ,36.99 
297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,753.5 ,28 ,47.40 
297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,753.5 ,56 ,51.96 
297.2 ,0.0 ,117.5 ,174.8 ,9.5 ,1022.8 ,753.5 ,100 ,56.74 
213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776.4 ,3 ,17.57 
213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776.4 ,14 ,33.73 
213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776.4 ,28 ,40.15 
213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776.4 ,56 ,46.64 
213.7 ,0.0 ,174.7 ,154.8 ,10.2 ,1053.5 ,776.4 ,100 ,50.08 
213.5 ,0.0 ,174.2 ,154.6 ,11.7 ,1052.3 ,775.5 ,3 ,17.37 
213.5 ,0.0 ,174.2 ,154.6 ,11.7 ,1052.3 ,775.5 ,14 ,33.70 
213.5 ,0.0 ,174.2 ,154.6 ,11.7 ,1052.3 ,775.5 ,28 ,45.94 
213.5 ,0.0 ,174.2 ,154.6 ,11.7 ,1052.3 ,775.5 ,56 ,51.43 
213.5 ,0.0 ,174.2 ,154.6 ,11.7 ,1052.3 ,775.5 ,100 ,59.30 
277.2 ,97.8 ,24.5 ,160.7 ,11.2 ,1061.7 ,782.5 ,3 ,30.45 
277.2 ,97.8 ,24.5 ,160.7 ,11.2 ,1061.7 ,782.5 ,14 ,47.71 
277.2 ,97.8 ,24.5 ,160.7 ,11.2 ,1061.7 ,782.5 ,28 ,63.14 
277.2 ,97.8 ,24.5 ,160.7 ,11.2 ,1061.7 ,782.5 ,56 ,66.82 
277.2 ,97.8 ,24.5 ,160.7 ,11.2 ,1061.7 ,782.5 ,100 ,66.95 
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,3 ,27.42 
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,14 ,35.96 
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,28 ,55.51 
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,56 ,61.99 
218.2 ,54.6 ,123.8 ,140.8 ,11.9 ,1075.7 ,792.7 ,100 ,63.53 
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,3 ,18.02 
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,14 ,38.60 
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,28 ,52.20 
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,56 ,53.96 
214.9 ,53.8 ,121.9 ,155.6 ,9.6 ,1014.3 ,780.6 ,100 ,56.63 
218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,794.9 ,3 ,15.34 
218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,794.9 ,14 ,26.05 
218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,794.9 ,28 ,30.22 
218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,794.9 ,56 ,37.27 
218.9 ,0.0 ,124.1 ,158.5 ,11.3 ,1078.7 ,794.9 ,100 ,46.23 
376.0 ,0.0 ,0.0 ,214.6 ,0.0 ,1003.5 ,762.4 ,3 ,16.28 
376.0 ,0.0 ,0.0 ,214.6 ,0.0 ,1003.5 ,762.4 ,14 ,25.62 
376.0 ,0.0 ,0.0 ,214.6 ,0.0 ,1003.5 ,762.4 ,28 ,31.97 
376.0 ,0.0 ,0.0 ,214.6 ,0.0 ,1003.5 ,762.4 ,56 ,36.30 
376.0 ,0.0 ,0.0 ,214.6 ,0.0 ,1003.5 ,762.4 ,100 ,43.06 
500.0 ,0.0 ,0.0 ,140.0 ,4.0 ,966.0 ,853.0 ,28 ,67.57 
475.0 ,0.0 ,59.0 ,142.0 ,1.9 ,1098.0 ,641.0 ,28 ,57.23 
315.0 ,137.0 ,0.0 ,145.0 ,5.9 ,1130.0 ,745.0 ,28 ,81.75 
505.0 ,0.0 ,60.0 ,195.0 ,0.0 ,1030.0 ,630.0 ,28 ,64.02 
451.0 ,0.0 ,0.0 ,165.0 ,11.3 ,1030.0 ,745.0 ,28 ,78.80 
516.0 ,0.0 ,0.0 ,162.0 ,8.2 ,801.0 ,802.0 ,28 ,41.37 
520.0 ,0.0 ,0.0 ,170.0 ,5.2 ,855.0 ,855.0 ,28 ,60.28 
528.0 ,0.0 ,0.0 ,185.0 ,6.9 ,920.0 ,720.0 ,28 ,56.83 
520.0 ,0.0 ,0.0 ,175.0 ,5.2 ,870.0 ,805.0 ,28 ,51.02 
385.0 ,0.0 ,136.0 ,158.0 ,20.0 ,903.0 ,768.0 ,28 ,55.55 
500.1 ,0.0 ,0.0 ,200.0 ,3.0 ,1124.4 ,613.2 ,28 ,44.13 
450.1 ,50.0 ,0.0 ,200.0 ,3.0 ,1124.4 ,613.2 ,28 ,39.38 
397.0 ,17.2 ,158.0 ,167.0 ,20.8 ,967.0 ,633.0 ,28 ,55.65 
333.0 ,17.5 ,163.0 ,167.0 ,17.9 ,996.0 ,652.0 ,28 ,47.28 
334.0 ,17.6 ,158.0 ,189.0 ,15.3 ,967.0 ,633.0 ,28 ,44.33 
405.0 ,0.0 ,0.0 ,175.0 ,0.0 ,1120.0 ,695.0 ,28 ,52.30 
200.0 ,200.0 ,0.0 ,190.0 ,0.0 ,1145.0 ,660.0 ,28 ,49.25 
516.0 ,0.0 ,0.0 ,162.0 ,8.3 ,801.0 ,802.0 ,28 ,41.37 
145.0 ,116.0 ,119.0 ,184.0 ,5.7 ,833.0 ,880.0 ,28 ,29.16 
160.0 ,128.0 ,122.0 ,182.0 ,6.4 ,824.0 ,879.0 ,28 ,39.40 
234.0 ,156.0 ,0.0 ,189.0 ,5.9 ,981.0 ,760.0 ,28 ,39.30 
250.0 ,180.0 ,95.0 ,159.0 ,9.5 ,860.0 ,800.0 ,28 ,67.87 
475.0 ,0.0 ,0.0 ,162.0 ,9.5 ,1044.0 ,662.0 ,28 ,58.52 
285.0 ,190.0 ,0.0 ,163.0 ,7.6 ,1031.0 ,685.0 ,28 ,53.58 
356.0 ,119.0 ,0.0 ,160.0 ,9.0 ,1061.0 ,657.0 ,28 ,59.00 
275.0 ,180.0 ,120.0 ,162.0 ,10.4 ,830.0 ,765.0 ,28 ,76.24 
500.0 ,0.0 ,0.0 ,151.0 ,9.0 ,1033.0 ,655.0 ,28 ,69.84 
165.0 ,0.0 ,143.6 ,163.8 ,0.0 ,1005.6 ,900.9 ,3 ,14.40 
165.0 ,128.5 ,132.1 ,175.1 ,8.1 ,1005.8 ,746.6 ,3 ,19.42 
178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,746.8 ,3 ,20.73 
167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,746.6 ,3 ,14.94 
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,3 ,21.29 
173.5 ,50.1 ,173.5 ,164.8 ,6.5 ,1006.2 ,793.5 ,3 ,23.08 
167.0 ,75.4 ,167.0 ,164.0 ,7.9 ,1007.3 ,770.1 ,3 ,15.52 
173.8 ,93.4 ,159.9 ,172.3 ,9.7 ,1007.2 ,746.6 ,3 ,15.82 
190.3 ,0.0 ,125.2 ,166.6 ,9.9 ,1079.0 ,798.9 ,3 ,12.55 
250.0 ,0.0 ,95.7 ,191.8 ,5.3 ,948.9 ,857.2 ,3 ,8.49 
213.5 ,0.0 ,174.2 ,159.2 ,11.7 ,1043.6 ,771.9 ,3 ,15.61 
194.7 ,0.0 ,100.5 ,170.2 ,7.5 ,998.0 ,901.8 ,3 ,12.18 
251.4 ,0.0 ,118.3 ,192.9 ,5.8 ,1043.6 ,754.3 ,3 ,11.98 
165.0 ,0.0 ,143.6 ,163.8 ,0.0 ,1005.6 ,900.9 ,14 ,16.88 
165.0 ,128.5 ,132.1 ,175.1 ,8.1 ,1005.8 ,746.6 ,14 ,33.09 
178.0 ,129.8 ,118.6 ,179.9 ,3.6 ,1007.3 ,746.8 ,14 ,34.24 
167.4 ,129.9 ,128.6 ,175.5 ,7.8 ,1006.3 ,746.6 ,14 ,31.81 
172.4 ,13.6 ,172.4 ,156.8 ,4.1 ,1006.3 ,856.4 ,14 ,29.75 
